TF1|TF2|{F/R}|D	COUNTS	n	mu	SD	FC	Z	p-value
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|10	57	3	46.333333333333336	9.60902353693305	1.2302158273381294	1.1100677010175362	0.2669698541080787
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|8	143	3	109.0	1.0	1.311926605504587	34.0	2.227797571148505e-253
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|7	146	3	108.66666666666667	10.263202878893768	1.343558282208589	3.6375908937851325	0.00027520008789025326
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|6	153	3	112.0	15.716233645501712	1.3660714285714286	2.608767528200689	0.00908689510834794
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|5	152	3	102.0	2.0	1.4901960784313726	25.0	6.113393412765122e-138
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|4	150	3	98.66666666666667	5.033222956847166	1.5202702702702702	10.198899149400837	2.0053251039478133e-24
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|3	201	3	116.0	10.14889156509222	1.7327586206896552	8.375298864396493	5.508390417621036e-17
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|2	164	3	120.66666666666667	13.576941236277534	1.3591160220994474	3.1916860049115354	0.0014144500543405813
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|1	111	3	105.0	5.291502622129181	1.0571428571428572	1.1338934190276817	0.25683925795785656
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|0	142	3	107.66666666666667	10.115993936995679	1.3188854489164086	3.3939653925425235	0.0006888839749988622
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|-6	46	3	33.333333333333336	0.5773502691896258	1.38	21.939310229205773	1.0955044498910702e-106
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|-5	102	3	69.66666666666667	4.725815626252608	1.464114832535885	6.841852473828403	7.817557514279175e-12
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|-4	203	3	93.66666666666667	5.686240703077327	2.167259786476868	19.227700521746012	2.1704050501000637e-82
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|-3	112	3	79.33333333333333	12.662279942148386	1.411764705882353	2.5798408198140166	0.00988458663063688
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|-2	104	3	64.66666666666667	7.023769168568492	1.6082474226804122	5.600032174939743	2.1431202366183103e-08
M1518_1.02d.jpwm|M0686_1.02d.jpwm|FF|-1	100	3	61.0	12.12435565298214	1.639344262295082	3.2166657854850578	0.0012968957989590631
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FR|10	60	3	56.666666666666664	5.507570547286102	1.0588235294117647	0.6052275326688028	0.5450278242638789
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|10	65	3	48.333333333333336	3.785938897200183	1.3448275862068966	4.402254531628118	1.0713176722966807e-05
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|8	54	3	56.0	1.0	0.9642857142857143	-2.0	0.04550026389635839
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|9	46	3	61.0	11.357816691600547	0.7540983606557377	-1.3206763594884356	0.1866092998747907
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|2	60	3	52.333333333333336	3.511884584284246	1.1464968152866242	2.183063390230747	0.0290311421354254
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|3	65	3	62.333333333333336	10.692676621563628	1.0427807486631016	0.2493918745554196	0.8030576697969138
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|0	62	3	43.333333333333336	4.725815626252609	1.4307692307692308	3.9499354488081493	7.817227267436564e-05
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|1	57	3	53.333333333333336	8.082903768654761	1.0687499999999999	0.4536323543632771	0.650093462348504
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|6	67	3	55.0	2.6457513110645907	1.2181818181818183	4.535573676110727	5.7447119191568595e-06
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|7	44	3	55.0	9.0	0.8	-1.2222222222222223	0.2216236024593935
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|4	57	3	54.333333333333336	7.505553499465135	1.049079754601227	0.35529247334746167	0.7223704935297328
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|5	47	3	53.333333333333336	11.846237095944574	0.88125	-0.5346282774891853	0.5929069259421822
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|8	84	3	45.333333333333336	3.2145502536643185	1.852941176470588	12.028639658872931	2.5126660781175923e-33
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|9	67	3	48.0	7.0	1.3958333333333333	2.7142857142857144	0.006641885476426627
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|9	135	3	110.33333333333333	2.516611478423583	1.2235649546827796	9.801539442281326	1.1088266288757372e-22
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|0	62	3	45.0	7.937253933193772	1.3777777777777778	2.141798680385621	0.03220968567371043
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|1	70	3	46.0	3.605551275463989	1.5217391304347827	6.65640235470275	2.8061140954240812e-11
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|2	67	3	48.0	12.0	1.3958333333333333	1.5833333333333333	0.11334550921952584
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|3	64	3	42.0	8.0	1.5238095238095237	2.75	0.00595952647010911
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|4	72	3	48.0	4.358898943540674	1.5	5.505977612893481	3.671251852078995e-08
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|5	59	3	52.0	15.0	1.1346153846153846	0.4666666666666667	0.6407383818025407
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|6	50	3	52.333333333333336	4.932882862316248	0.9554140127388535	-0.4730161648796406	0.6362016465383995
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|7	68	3	50.0	3.605551275463989	1.36	4.9923017660270625	5.966393833070126e-07
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|5	151	3	106.33333333333333	7.505553499465135	1.4200626959247649	5.95114892856999	2.662666557081415e-09
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|4	162	3	108.0	6.928203230275509	1.5	7.794228634059948	6.480311843151561e-15
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|7	162	3	126.0	2.6457513110645907	1.2857142857142858	13.60672102833218	3.652675616625713e-42
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|6	146	3	99.66666666666667	2.5166114784235836	1.4648829431438126	18.410999763204103	1.0722481004897517e-75
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|1	147	3	102.0	4.0	1.4411764705882353	11.25	2.3159206371372672e-29
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|0	126	3	118.0	4.0	1.0677966101694916	2.0	0.04550026389635839
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|3	139	3	109.0	9.539392014169456	1.275229357798165	3.144854510165755	0.0016616944579835073
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|2	161	3	106.0	8.888194417315589	1.5188679245283019	6.187983455093131	6.093872248547093e-10
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|9	153	3	99.0	7.937253933193772	1.5454545454545454	6.80336051416609	1.0220644786436004e-11
M1264_1.02d.jpwm|M0686_1.02d.jpwm|FF|8	153	3	106.0	6.244997998398398	1.4433962264150944	7.526023228839096	5.2309038526355356e-14
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|10	17	3	8.0	1.0	2.125	9.0	2.2571768119076647e-19
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|-2	260	3	91.0	9.16515138991168	2.857142857142857	18.43941172494136	6.342755290240538e-76
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|-3	408	3	133.66666666666666	11.015141094572204	3.0523690773067336	24.905112969321223	6.549321717124971e-137
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|-1	354	3	122.33333333333333	9.237604307034013	2.8937329700272483	25.07865231792437	8.503984719064341e-139
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|-6	233	3	95.66666666666667	13.868429375143148	2.435540069686411	9.902587352788519	4.0564233718049224e-23
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|-4	646	3	234.0	6.0	2.7606837606837606	68.66666666666667	0.0
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|-5	265	3	69.33333333333333	5.773502691896257	3.822115384615385	33.89046080143104	9.20717495750627e-252
M1518_1.02d.jpwm|M1518_1.02d.jpwm|FF|0	48	3	27.0	1.0	1.7777777777777777	21.0	6.558556037957885e-98
M1518_1.02d.jpwm|M1518_1.02d.jpwm|FF|10	35	3	25.333333333333332	4.041451884327381	1.381578947368421	2.3918796866427354	0.0167623361771865
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|-3	94	3	87.33333333333333	4.509249752822894	1.0763358778625955	1.4784425419091467	0.13928936568684808
M1264_1.02d.jpwm|M1264_1.02d.jpwm|FR|10	52	3	55.0	7.810249675906654	0.9454545454545454	-0.3841106397986879	0.7008964458564653
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|-4	36	3	20.0	4.0	1.8	4.0	6.334248366623973e-05
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|-6	1	3	0.6666666666666666	0.5773502691896258	1.5	0.5773502691896257	0.5637028616507731
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|-1	22	3	11.0	3.605551275463989	2.0	3.05085107923876	0.0022819372533154484
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|-2	10	3	10.0	2.6457513110645907	1.0	0.0	1.0
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|-3	19	3	20.333333333333332	4.041451884327381	0.9344262295081968	-0.32991443953692867	0.7414646126329771
